state_legislative_district,precinct,office,district,candidate,party,votes
9.0,09-665 Whittier,U.S. House,1,"Hinz, Lynette ",DEM,6
9.0,09-665 Whittier,U.S. House,1,"Lindbeck, Steve",DEM,3
9.0,09-665 Whittier,U.S. House,1,"McDermott, Jim C. ",LIB,3
9.0,09-665 Whittier,U.S. House,1,"Watts, Jon B.",LIB,1
9.0,09-665 Whittier,U.S. House,1,"Heikes, Gerald L. ",REP,2
9.0,09-665 Whittier,U.S. House,1,"Tingley, Jesse J.",REP,0
9.0,09-665 Whittier,U.S. House,1,"Wright, Stephen T.",REP,8
9.0,09-665 Whittier,U.S. House,1,"Young, Don",REP,27
9.0,09-665 Whittier,State House,9,"Rauscher, George",REP,16
9.0,09-665 Whittier,State House,9,"Colver, Jim",REP,21
10.0,10-005 Kings Lake,U.S. Senate,,"Blatchford, Edgar",DEM,9
10.0,10-005 Kings Lake,U.S. Senate,,"Metcalfe, Ray",DEM,9
10.0,10-005 Kings Lake,U.S. Senate,,"Stevens, Cean",LIB,0
10.0,10-005 Kings Lake,U.S. Senate,,"Kendall, Paul",REP,9
10.0,10-005 Kings Lake,U.S. Senate,,"Lamb, Thomas",REP,7
10.0,10-005 Kings Lake,U.S. Senate,,"Lochner, Bob",REP,38
10.0,10-005 Kings Lake,U.S. Senate,,"Murkowski, Lisa",REP,63
10.0,10-005 Kings Lake,U.S. House,1,"Hibler, William D. ",DEM,0
10.0,10-005 Kings Lake,U.S. House,1,"Hinz, Lynette ",DEM,2
10.0,10-005 Kings Lake,U.S. House,1,"Lindbeck, Steve",DEM,16
10.0,10-005 Kings Lake,U.S. House,1,"McDermott, Jim C. ",LIB,0
10.0,10-005 Kings Lake,U.S. House,1,"Watts, Jon B.",LIB,0
10.0,10-005 Kings Lake,U.S. House,1,"Heikes, Gerald L. ",REP,7
10.0,10-005 Kings Lake,U.S. House,1,"Tingley, Jesse J.",REP,2
10.0,10-005 Kings Lake,U.S. House,1,"Wright, Stephen T.",REP,29
10.0,10-005 Kings Lake,U.S. House,1,"Young, Don",REP,74
10.0,10-005 Kings Lake,State House,10,"Hartley, Christian M",DEM,17
10.0,10-005 Kings Lake,State House,10,"Menard, Steve",REP,24
10.0,10-005 Kings Lake,State House,10,"Eastman, David",REP,65
10.0,10-005 Kings Lake,State House,10,"Wright, Andrew P.",REP,4
10.0,10-005 Kings Lake,State House,10,"Keller, Wes",REP,18
10.0,10-010 Church,U.S. Senate,,"Blatchford, Edgar",DEM,15
10.0,10-010 Church,U.S. Senate,,"Metcalfe, Ray",DEM,18
10.0,10-010 Church,U.S. Senate,,"Stevens, Cean",LIB,4
10.0,10-010 Church,U.S. Senate,,"Kendall, Paul",REP,15
10.0,10-010 Church,U.S. Senate,,"Lamb, Thomas",REP,17
10.0,10-010 Church,U.S. Senate,,"Lochner, Bob",REP,36
10.0,10-010 Church,U.S. Senate,,"Murkowski, Lisa",REP,112
10.0,10-010 Church,U.S. House,1,"Hibler, William D. ",DEM,2
10.0,10-010 Church,U.S. House,1,"Hinz, Lynette ",DEM,7
10.0,10-010 Church,U.S. House,1,"Lindbeck, Steve",DEM,20
10.0,10-010 Church,U.S. House,1,"McDermott, Jim C. ",LIB,6
10.0,10-010 Church,U.S. House,1,"Watts, Jon B.",LIB,1
10.0,10-010 Church,U.S. House,1,"Heikes, Gerald L. ",REP,14
10.0,10-010 Church,U.S. House,1,"Tingley, Jesse J.",REP,9
10.0,10-010 Church,U.S. House,1,"Wright, Stephen T.",REP,36
10.0,10-010 Church,U.S. House,1,"Young, Don",REP,118
10.0,10-010 Church,State House,10,"Hartley, Christian M",DEM,35
10.0,10-010 Church,State House,10,"Menard, Steve",REP,24
10.0,10-010 Church,State House,10,"Eastman, David",REP,84
10.0,10-010 Church,State House,10,"Wright, Andrew P.",REP,7
10.0,10-010 Church,State House,10,"Keller, Wes",REP,64
10.0,10-015 Tanaina,U.S. Senate,,"Blatchford, Edgar",DEM,11
10.0,10-015 Tanaina,U.S. Senate,,"Metcalfe, Ray",DEM,28
10.0,10-015 Tanaina,U.S. Senate,,"Stevens, Cean",LIB,19
10.0,10-015 Tanaina,U.S. Senate,,"Kendall, Paul",REP,28
10.0,10-015 Tanaina,U.S. Senate,,"Lamb, Thomas",REP,16
10.0,10-015 Tanaina,U.S. Senate,,"Lochner, Bob",REP,58
10.0,10-015 Tanaina,U.S. Senate,,"Murkowski, Lisa",REP,148
10.0,10-015 Tanaina,U.S. House,1,"Hibler, William D. ",DEM,8
10.0,10-015 Tanaina,U.S. House,1,"Hinz, Lynette ",DEM,11
10.0,10-015 Tanaina,U.S. House,1,"Lindbeck, Steve",DEM,19
10.0,10-015 Tanaina,U.S. House,1,"McDermott, Jim C. ",LIB,15
10.0,10-015 Tanaina,U.S. House,1,"Watts, Jon B.",LIB,5
10.0,10-015 Tanaina,U.S. House,1,"Heikes, Gerald L. ",REP,8
10.0,10-015 Tanaina,U.S. House,1,"Tingley, Jesse J.",REP,14
10.0,10-015 Tanaina,U.S. House,1,"Wright, Stephen T.",REP,69
10.0,10-015 Tanaina,U.S. House,1,"Young, Don",REP,156
10.0,10-015 Tanaina,State House,10,"Hartley, Christian M",DEM,45
10.0,10-015 Tanaina,State House,10,"Menard, Steve",REP,52
10.0,10-015 Tanaina,State House,10,"Eastman, David",REP,123
10.0,10-015 Tanaina,State House,10,"Wright, Andrew P.",REP,14
10.0,10-015 Tanaina,State House,10,"Keller, Wes",REP,59
10.0,10-020 Houston,U.S. Senate,,"Blatchford, Edgar",DEM,1
10.0,10-020 Houston,U.S. Senate,,"Metcalfe, Ray",DEM,12
10.0,10-020 Houston,U.S. Senate,,"Stevens, Cean",LIB,8
10.0,10-020 Houston,U.S. Senate,,"Kendall, Paul",REP,13
10.0,10-020 Houston,U.S. Senate,,"Lamb, Thomas",REP,8
10.0,10-020 Houston,U.S. Senate,,"Lochner, Bob",REP,20
10.0,10-020 Houston,U.S. Senate,,"Murkowski, Lisa",REP,101
10.0,10-020 Houston,U.S. House,1,"Hibler, William D. ",DEM,4
10.0,10-020 Houston,U.S. House,1,"Hinz, Lynette ",DEM,3
10.0,10-020 Houston,U.S. House,1,"Lindbeck, Steve",DEM,5
10.0,10-020 Houston,U.S. House,1,"McDermott, Jim C. ",LIB,9
10.0,10-020 Houston,U.S. House,1,"Watts, Jon B.",LIB,0
10.0,10-020 Houston,U.S. House,1,"Heikes, Gerald L. ",REP,7
10.0,10-020 Houston,U.S. House,1,"Tingley, Jesse J.",REP,9
10.0,10-020 Houston,U.S. House,1,"Wright, Stephen T.",REP,26
10.0,10-020 Houston,U.S. House,1,"Young, Don",REP,100
10.0,10-020 Houston,State House,10,"Hartley, Christian M",DEM,15
10.0,10-020 Houston,State House,10,"Menard, Steve",REP,19
10.0,10-020 Houston,State House,10,"Eastman, David",REP,53
10.0,10-020 Houston,State House,10,"Wright, Andrew P.",REP,10
10.0,10-020 Houston,State House,10,"Keller, Wes",REP,60
10.0,10-025 Meadow Lakes No. 3,U.S. Senate,,"Blatchford, Edgar",DEM,4
10.0,10-025 Meadow Lakes No. 3,U.S. Senate,,"Metcalfe, Ray",DEM,12
10.0,10-025 Meadow Lakes No. 3,U.S. Senate,,"Stevens, Cean",LIB,8
10.0,10-025 Meadow Lakes No. 3,U.S. Senate,,"Kendall, Paul",REP,12
10.0,10-025 Meadow Lakes No. 3,U.S. Senate,,"Lamb, Thomas",REP,12
10.0,10-025 Meadow Lakes No. 3,U.S. Senate,,"Lochner, Bob",REP,26
10.0,10-025 Meadow Lakes No. 3,U.S. Senate,,"Murkowski, Lisa",REP,58
10.0,10-025 Meadow Lakes No. 3,U.S. House,1,"Hibler, William D. ",DEM,2
10.0,10-025 Meadow Lakes No. 3,U.S. House,1,"Hinz, Lynette ",DEM,1
10.0,10-025 Meadow Lakes No. 3,U.S. House,1,"Lindbeck, Steve",DEM,10
10.0,10-025 Meadow Lakes No. 3,U.S. House,1,"McDermott, Jim C. ",LIB,7
10.0,10-025 Meadow Lakes No. 3,U.S. House,1,"Watts, Jon B.",LIB,5
10.0,10-025 Meadow Lakes No. 3,U.S. House,1,"Heikes, Gerald L. ",REP,2
10.0,10-025 Meadow Lakes No. 3,U.S. House,1,"Tingley, Jesse J.",REP,6
10.0,10-025 Meadow Lakes No. 3,U.S. House,1,"Wright, Stephen T.",REP,20
10.0,10-025 Meadow Lakes No. 3,U.S. House,1,"Young, Don",REP,79
10.0,10-025 Meadow Lakes No. 3,State House,10,"Hartley, Christian M",DEM,21
10.0,10-025 Meadow Lakes No. 3,State House,10,"Menard, Steve",REP,19
10.0,10-025 Meadow Lakes No. 3,State House,10,"Eastman, David",REP,52
10.0,10-025 Meadow Lakes No. 3,State House,10,"Wright, Andrew P.",REP,4
10.0,10-025 Meadow Lakes No. 3,State House,10,"Keller, Wes",REP,34
10.0,10-030 Susitna,U.S. Senate,,"Blatchford, Edgar",DEM,10
10.0,10-030 Susitna,U.S. Senate,,"Metcalfe, Ray",DEM,18
10.0,10-030 Susitna,U.S. Senate,,"Stevens, Cean",LIB,9
10.0,10-030 Susitna,U.S. Senate,,"Kendall, Paul",REP,17
10.0,10-030 Susitna,U.S. Senate,,"Lamb, Thomas",REP,4
10.0,10-030 Susitna,U.S. Senate,,"Lochner, Bob",REP,19
10.0,10-030 Susitna,U.S. Senate,,"Murkowski, Lisa",REP,64
10.0,10-030 Susitna,U.S. House,1,"Hibler, William D. ",DEM,1
10.0,10-030 Susitna,U.S. House,1,"Hinz, Lynette ",DEM,5
10.0,10-030 Susitna,U.S. House,1,"Lindbeck, Steve",DEM,18
10.0,10-030 Susitna,U.S. House,1,"McDermott, Jim C. ",LIB,9
10.0,10-030 Susitna,U.S. House,1,"Watts, Jon B.",LIB,4
10.0,10-030 Susitna,U.S. House,1,"Heikes, Gerald L. ",REP,7
10.0,10-030 Susitna,U.S. House,1,"Tingley, Jesse J.",REP,4
10.0,10-030 Susitna,U.S. House,1,"Wright, Stephen T.",REP,20
10.0,10-030 Susitna,U.S. House,1,"Young, Don",REP,72
10.0,10-030 Susitna,State House,10,"Hartley, Christian M",DEM,32
10.0,10-030 Susitna,State House,10,"Menard, Steve",REP,13
10.0,10-030 Susitna,State House,10,"Eastman, David",REP,50
10.0,10-030 Susitna,State House,10,"Wright, Andrew P.",REP,3
10.0,10-030 Susitna,State House,10,"Keller, Wes",REP,38
10.0,10-035 Talkeetna,U.S. Senate,,"Blatchford, Edgar",DEM,9
10.0,10-035 Talkeetna,U.S. Senate,,"Metcalfe, Ray",DEM,31
10.0,10-035 Talkeetna,U.S. Senate,,"Stevens, Cean",LIB,12
10.0,10-035 Talkeetna,U.S. Senate,,"Kendall, Paul",REP,7
10.0,10-035 Talkeetna,U.S. Senate,,"Lamb, Thomas",REP,11
10.0,10-035 Talkeetna,U.S. Senate,,"Lochner, Bob",REP,12
10.0,10-035 Talkeetna,U.S. Senate,,"Murkowski, Lisa",REP,44
10.0,10-035 Talkeetna,U.S. House,1,"Hibler, William D. ",DEM,6
10.0,10-035 Talkeetna,U.S. House,1,"Hinz, Lynette ",DEM,5
10.0,10-035 Talkeetna,U.S. House,1,"Lindbeck, Steve",DEM,28
10.0,10-035 Talkeetna,U.S. House,1,"McDermott, Jim C. ",LIB,13
10.0,10-035 Talkeetna,U.S. House,1,"Watts, Jon B.",LIB,1
10.0,10-035 Talkeetna,U.S. House,1,"Heikes, Gerald L. ",REP,4
10.0,10-035 Talkeetna,U.S. House,1,"Tingley, Jesse J.",REP,4
10.0,10-035 Talkeetna,U.S. House,1,"Wright, Stephen T.",REP,20
10.0,10-035 Talkeetna,U.S. House,1,"Young, Don",REP,47
10.0,10-035 Talkeetna,State House,10,"Hartley, Christian M",DEM,44
10.0,10-035 Talkeetna,State House,10,"Menard, Steve",REP,11
10.0,10-035 Talkeetna,State House,10,"Eastman, David",REP,37
10.0,10-035 Talkeetna,State House,10,"Wright, Andrew P.",REP,4
10.0,10-035 Talkeetna,State House,10,"Keller, Wes",REP,22
10.0,10-040 Trapper Creek,U.S. Senate,,"Blatchford, Edgar",DEM,0
10.0,10-040 Trapper Creek,U.S. Senate,,"Metcalfe, Ray",DEM,7
10.0,10-040 Trapper Creek,U.S. Senate,,"Stevens, Cean",LIB,4
10.0,10-040 Trapper Creek,U.S. Senate,,"Kendall, Paul",REP,10
10.0,10-040 Trapper Creek,U.S. Senate,,"Lamb, Thomas",REP,5
10.0,10-040 Trapper Creek,U.S. Senate,,"Lochner, Bob",REP,4
10.0,10-040 Trapper Creek,U.S. Senate,,"Murkowski, Lisa",REP,20
10.0,10-040 Trapper Creek,U.S. House,1,"Hibler, William D. ",DEM,3
10.0,10-040 Trapper Creek,U.S. House,1,"Hinz, Lynette ",DEM,2
10.0,10-040 Trapper Creek,U.S. House,1,"Lindbeck, Steve",DEM,3
10.0,10-040 Trapper Creek,U.S. House,1,"McDermott, Jim C. ",LIB,2
10.0,10-040 Trapper Creek,U.S. House,1,"Watts, Jon B.",LIB,1
10.0,10-040 Trapper Creek,U.S. House,1,"Heikes, Gerald L. ",REP,3
10.0,10-040 Trapper Creek,U.S. House,1,"Tingley, Jesse J.",REP,0
10.0,10-040 Trapper Creek,U.S. House,1,"Wright, Stephen T.",REP,7
10.0,10-040 Trapper Creek,U.S. House,1,"Young, Don",REP,29
10.0,10-040 Trapper Creek,State House,10,"Hartley, Christian M",DEM,11
10.0,10-040 Trapper Creek,State House,10,"Menard, Steve",REP,6
10.0,10-040 Trapper Creek,State House,10,"Eastman, David",REP,24
10.0,10-040 Trapper Creek,State House,10,"Wright, Andrew P.",REP,1
10.0,10-040 Trapper Creek,State House,10,"Keller, Wes",REP,8
10.0,10-045 Willow,U.S. Senate,,"Blatchford, Edgar",DEM,20
10.0,10-045 Willow,U.S. Senate,,"Metcalfe, Ray",DEM,41
10.0,10-045 Willow,U.S. Senate,,"Stevens, Cean",LIB,19
10.0,10-045 Willow,U.S. Senate,,"Kendall, Paul",REP,35
10.0,10-045 Willow,U.S. Senate,,"Lamb, Thomas",REP,25
10.0,10-045 Willow,U.S. Senate,,"Lochner, Bob",REP,46
10.0,10-045 Willow,U.S. Senate,,"Murkowski, Lisa",REP,162
10.0,10-045 Willow,U.S. House,1,"Hibler, William D. ",DEM,4
10.0,10-045 Willow,U.S. House,1,"Hinz, Lynette ",DEM,6
10.0,10-045 Willow,U.S. House,1,"Lindbeck, Steve",DEM,42
10.0,10-045 Willow,U.S. House,1,"McDermott, Jim C. ",LIB,20
10.0,10-045 Willow,U.S. House,1,"Watts, Jon B.",LIB,7
10.0,10-045 Willow,U.S. House,1,"Heikes, Gerald L. ",REP,23
10.0,10-045 Willow,U.S. House,1,"Tingley, Jesse J.",REP,14
10.0,10-045 Willow,U.S. House,1,"Wright, Stephen T.",REP,64
10.0,10-045 Willow,U.S. House,1,"Young, Don",REP,161
10.0,10-045 Willow,State House,10,"Hartley, Christian M",DEM,67
10.0,10-045 Willow,State House,10,"Menard, Steve",REP,33
10.0,10-045 Willow,State House,10,"Eastman, David",REP,111
10.0,10-045 Willow,State House,10,"Wright, Andrew P.",REP,10
10.0,10-045 Willow,State House,10,"Keller, Wes",REP,114
10.0,10-050 Meadow Lakes No. 4,U.S. Senate,,"Blatchford, Edgar",DEM,1
10.0,10-050 Meadow Lakes No. 4,U.S. Senate,,"Metcalfe, Ray",DEM,0
10.0,10-050 Meadow Lakes No. 4,U.S. Senate,,"Stevens, Cean",LIB,0
10.0,10-050 Meadow Lakes No. 4,U.S. Senate,,"Kendall, Paul",REP,2
10.0,10-050 Meadow Lakes No. 4,U.S. Senate,,"Lamb, Thomas",REP,4
10.0,10-050 Meadow Lakes No. 4,U.S. Senate,,"Lochner, Bob",REP,19
10.0,10-050 Meadow Lakes No. 4,U.S. Senate,,"Murkowski, Lisa",REP,25
10.0,10-050 Meadow Lakes No. 4,U.S. House,1,"Hibler, William D. ",DEM,0
10.0,10-050 Meadow Lakes No. 4,U.S. House,1,"Hinz, Lynette ",DEM,0
10.0,10-050 Meadow Lakes No. 4,U.S. House,1,"Lindbeck, Steve",DEM,2
10.0,10-050 Meadow Lakes No. 4,U.S. House,1,"McDermott, Jim C. ",LIB,0
10.0,10-050 Meadow Lakes No. 4,U.S. House,1,"Watts, Jon B.",LIB,0
10.0,10-050 Meadow Lakes No. 4,U.S. House,1,"Heikes, Gerald L. ",REP,1
10.0,10-050 Meadow Lakes No. 4,U.S. House,1,"Tingley, Jesse J.",REP,1
10.0,10-050 Meadow Lakes No. 4,U.S. House,1,"Wright, Stephen T.",REP,18
10.0,10-050 Meadow Lakes No. 4,U.S. House,1,"Young, Don",REP,31
10.0,10-050 Meadow Lakes No. 4,State House,10,"Hartley, Christian M",DEM,2
10.0,10-050 Meadow Lakes No. 4,State House,10,"Menard, Steve",REP,10
10.0,10-050 Meadow Lakes No. 4,State House,10,"Eastman, David",REP,22
10.0,10-050 Meadow Lakes No. 4,State House,10,"Wright, Andrew P.",REP,4
10.0,10-050 Meadow Lakes No. 4,State House,10,"Keller, Wes",REP,15
10.0,10-055 Lakes No. 2,U.S. Senate,,"Blatchford, Edgar",DEM,6
10.0,10-055 Lakes No. 2,U.S. Senate,,"Metcalfe, Ray",DEM,8
10.0,10-055 Lakes No. 2,U.S. Senate,,"Stevens, Cean",LIB,9
10.0,10-055 Lakes No. 2,U.S. Senate,,"Kendall, Paul",REP,7
10.0,10-055 Lakes No. 2,U.S. Senate,,"Lamb, Thomas",REP,13
10.0,10-055 Lakes No. 2,U.S. Senate,,"Lochner, Bob",REP,21
10.0,10-055 Lakes No. 2,U.S. Senate,,"Murkowski, Lisa",REP,72
10.0,10-055 Lakes No. 2,U.S. House,1,"Hibler, William D. ",DEM,1
10.0,10-055 Lakes No. 2,U.S. House,1,"Hinz, Lynette ",DEM,3
10.0,10-055 Lakes No. 2,U.S. House,1,"Lindbeck, Steve",DEM,11
10.0,10-055 Lakes No. 2,U.S. House,1,"McDermott, Jim C. ",LIB,6
10.0,10-055 Lakes No. 2,U.S. House,1,"Watts, Jon B.",LIB,2
10.0,10-055 Lakes No. 2,U.S. House,1,"Heikes, Gerald L. ",REP,9
10.0,10-055 Lakes No. 2,U.S. House,1,"Tingley, Jesse J.",REP,12
10.0,10-055 Lakes No. 2,U.S. House,1,"Wright, Stephen T.",REP,24
10.0,10-055 Lakes No. 2,U.S. House,1,"Young, Don",REP,65
10.0,10-055 Lakes No. 2,State House,10,"Hartley, Christian M",DEM,19
10.0,10-055 Lakes No. 2,State House,10,"Menard, Steve",REP,13
10.0,10-055 Lakes No. 2,State House,10,"Eastman, David",REP,72
10.0,10-055 Lakes No. 2,State House,10,"Wright, Andrew P.",REP,3
10.0,10-055 Lakes No. 2,State House,10,"Keller, Wes",REP,27
11.0,11-055 Walby,U.S. Senate,,"Blatchford, Edgar",DEM,7
11.0,11-055 Walby,U.S. Senate,,"Metcalfe, Ray",DEM,21
11.0,11-055 Walby,U.S. Senate,,"Stevens, Cean",LIB,15
11.0,11-055 Walby,U.S. Senate,,"Kendall, Paul",REP,15
11.0,11-055 Walby,U.S. Senate,,"Lamb, Thomas",REP,13
11.0,11-055 Walby,U.S. Senate,,"Lochner, Bob",REP,61
11.0,11-055 Walby,U.S. Senate,,"Murkowski, Lisa",REP,182
11.0,11-055 Walby,U.S. House,1,"Hibler, William D. ",DEM,4
11.0,11-055 Walby,U.S. House,1,"Hinz, Lynette ",DEM,4
11.0,11-055 Walby,U.S. House,1,"Lindbeck, Steve",DEM,21
11.0,11-055 Walby,U.S. House,1,"McDermott, Jim C. ",LIB,9
11.0,11-055 Walby,U.S. House,1,"Watts, Jon B.",LIB,6
11.0,11-055 Walby,U.S. House,1,"Heikes, Gerald L. ",REP,13
11.0,11-055 Walby,U.S. House,1,"Tingley, Jesse J.",REP,7
11.0,11-055 Walby,U.S. House,1,"Wright, Stephen T.",REP,52
11.0,11-055 Walby,U.S. House,1,"Young, Don",REP,194
11.0,11-055 Walby,State Senate,F,"Laudert-Rodgers, Sam",DEM,34
11.0,11-055 Walby,State Senate,F,"Hughes, Shelley",REP,156
11.0,11-055 Walby,State Senate,F,"St. Clair, Steve",REP,20
11.0,11-055 Walby,State Senate,F,"Crum, Adam",REP,94
11.0,11-055 Walby,State House,11,"Johnson, Delena",REP,167
11.0,11-055 Walby,State House,11,"Best, Richard W.",REP,103
11.0,11-060 Greater Palmer,U.S. Senate,,"Blatchford, Edgar",DEM,13
11.0,11-060 Greater Palmer,U.S. Senate,,"Metcalfe, Ray",DEM,26
11.0,11-060 Greater Palmer,U.S. Senate,,"Stevens, Cean",LIB,8
11.0,11-060 Greater Palmer,U.S. Senate,,"Kendall, Paul",REP,15
11.0,11-060 Greater Palmer,U.S. Senate,,"Lamb, Thomas",REP,17
11.0,11-060 Greater Palmer,U.S. Senate,,"Lochner, Bob",REP,47
11.0,11-060 Greater Palmer,U.S. Senate,,"Murkowski, Lisa",REP,158
11.0,11-060 Greater Palmer,U.S. House,1,"Hibler, William D. ",DEM,3
11.0,11-060 Greater Palmer,U.S. House,1,"Hinz, Lynette ",DEM,10
11.0,11-060 Greater Palmer,U.S. House,1,"Lindbeck, Steve",DEM,28
11.0,11-060 Greater Palmer,U.S. House,1,"McDermott, Jim C. ",LIB,5
11.0,11-060 Greater Palmer,U.S. House,1,"Watts, Jon B.",LIB,2
11.0,11-060 Greater Palmer,U.S. House,1,"Heikes, Gerald L. ",REP,9
11.0,11-060 Greater Palmer,U.S. House,1,"Tingley, Jesse J.",REP,19
11.0,11-060 Greater Palmer,U.S. House,1,"Wright, Stephen T.",REP,58
11.0,11-060 Greater Palmer,U.S. House,1,"Young, Don",REP,149
11.0,11-060 Greater Palmer,State Senate,F,"Laudert-Rodgers, Sam",DEM,39
11.0,11-060 Greater Palmer,State Senate,F,"Hughes, Shelley",REP,124
11.0,11-060 Greater Palmer,State Senate,F,"St. Clair, Steve",REP,24
11.0,11-060 Greater Palmer,State Senate,F,"Crum, Adam",REP,90
11.0,11-060 Greater Palmer,State House,11,"Johnson, Delena",REP,133
11.0,11-060 Greater Palmer,State House,11,"Best, Richard W.",REP,108
11.0,11-065 Mat-Su Campus,U.S. Senate,,"Blatchford, Edgar",DEM,7
11.0,11-065 Mat-Su Campus,U.S. Senate,,"Metcalfe, Ray",DEM,13
11.0,11-065 Mat-Su Campus,U.S. Senate,,"Stevens, Cean",LIB,8
11.0,11-065 Mat-Su Campus,U.S. Senate,,"Kendall, Paul",REP,9
11.0,11-065 Mat-Su Campus,U.S. Senate,,"Lamb, Thomas",REP,10
11.0,11-065 Mat-Su Campus,U.S. Senate,,"Lochner, Bob",REP,39
11.0,11-065 Mat-Su Campus,U.S. Senate,,"Murkowski, Lisa",REP,91
11.0,11-065 Mat-Su Campus,U.S. House,1,"Hibler, William D. ",DEM,2
11.0,11-065 Mat-Su Campus,U.S. House,1,"Hinz, Lynette ",DEM,5
11.0,11-065 Mat-Su Campus,U.S. House,1,"Lindbeck, Steve",DEM,16
11.0,11-065 Mat-Su Campus,U.S. House,1,"McDermott, Jim C. ",LIB,6
11.0,11-065 Mat-Su Campus,U.S. House,1,"Watts, Jon B.",LIB,0
11.0,11-065 Mat-Su Campus,U.S. House,1,"Heikes, Gerald L. ",REP,7
11.0,11-065 Mat-Su Campus,U.S. House,1,"Tingley, Jesse J.",REP,5
11.0,11-065 Mat-Su Campus,U.S. House,1,"Wright, Stephen T.",REP,34
11.0,11-065 Mat-Su Campus,U.S. House,1,"Young, Don",REP,99
11.0,11-065 Mat-Su Campus,State Senate,F,"Laudert-Rodgers, Sam",DEM,26
11.0,11-065 Mat-Su Campus,State Senate,F,"Hughes, Shelley",REP,91
11.0,11-065 Mat-Su Campus,State Senate,F,"St. Clair, Steve",REP,13
11.0,11-065 Mat-Su Campus,State Senate,F,"Crum, Adam",REP,47
11.0,11-065 Mat-Su Campus,State House,11,"Johnson, Delena",REP,94
11.0,11-065 Mat-Su Campus,State House,11,"Best, Richard W.",REP,56
11.0,11-070 Palmer City No. 1,U.S. Senate,,"Blatchford, Edgar",DEM,25
11.0,11-070 Palmer City No. 1,U.S. Senate,,"Metcalfe, Ray",DEM,51
11.0,11-070 Palmer City No. 1,U.S. Senate,,"Stevens, Cean",LIB,14
11.0,11-070 Palmer City No. 1,U.S. Senate,,"Kendall, Paul",REP,15
11.0,11-070 Palmer City No. 1,U.S. Senate,,"Lamb, Thomas",REP,23
11.0,11-070 Palmer City No. 1,U.S. Senate,,"Lochner, Bob",REP,39
11.0,11-070 Palmer City No. 1,U.S. Senate,,"Murkowski, Lisa",REP,190
11.0,11-070 Palmer City No. 1,U.S. House,1,"Hibler, William D. ",DEM,9
11.0,11-070 Palmer City No. 1,U.S. House,1,"Hinz, Lynette ",DEM,15
11.0,11-070 Palmer City No. 1,U.S. House,1,"Lindbeck, Steve",DEM,52
11.0,11-070 Palmer City No. 1,U.S. House,1,"McDermott, Jim C. ",LIB,11
11.0,11-070 Palmer City No. 1,U.S. House,1,"Watts, Jon B.",LIB,2
11.0,11-070 Palmer City No. 1,U.S. House,1,"Heikes, Gerald L. ",REP,15
11.0,11-070 Palmer City No. 1,U.S. House,1,"Tingley, Jesse J.",REP,13
11.0,11-070 Palmer City No. 1,U.S. House,1,"Wright, Stephen T.",REP,73
11.0,11-070 Palmer City No. 1,U.S. House,1,"Young, Don",REP,158
11.0,11-070 Palmer City No. 1,State Senate,F,"Laudert-Rodgers, Sam",DEM,77
11.0,11-070 Palmer City No. 1,State Senate,F,"Hughes, Shelley",REP,140
11.0,11-070 Palmer City No. 1,State Senate,F,"St. Clair, Steve",REP,34
11.0,11-070 Palmer City No. 1,State Senate,F,"Crum, Adam",REP,94
11.0,11-070 Palmer City No. 1,State House,11,"Johnson, Delena",REP,154
11.0,11-070 Palmer City No. 1,State House,11,"Best, Richard W.",REP,110
11.0,11-075 Palmer City No. 2,U.S. Senate,,"Blatchford, Edgar",DEM,10
11.0,11-075 Palmer City No. 2,U.S. Senate,,"Metcalfe, Ray",DEM,14
11.0,11-075 Palmer City No. 2,U.S. Senate,,"Stevens, Cean",LIB,12
11.0,11-075 Palmer City No. 2,U.S. Senate,,"Kendall, Paul",REP,17
11.0,11-075 Palmer City No. 2,U.S. Senate,,"Lamb, Thomas",REP,13
11.0,11-075 Palmer City No. 2,U.S. Senate,,"Lochner, Bob",REP,36
11.0,11-075 Palmer City No. 2,U.S. Senate,,"Murkowski, Lisa",REP,139
11.0,11-075 Palmer City No. 2,U.S. House,1,"Hibler, William D. ",DEM,7
11.0,11-075 Palmer City No. 2,U.S. House,1,"Hinz, Lynette ",DEM,9
11.0,11-075 Palmer City No. 2,U.S. House,1,"Lindbeck, Steve",DEM,11
11.0,11-075 Palmer City No. 2,U.S. House,1,"McDermott, Jim C. ",LIB,8
11.0,11-075 Palmer City No. 2,U.S. House,1,"Watts, Jon B.",LIB,0
11.0,11-075 Palmer City No. 2,U.S. House,1,"Heikes, Gerald L. ",REP,14
11.0,11-075 Palmer City No. 2,U.S. House,1,"Tingley, Jesse J.",REP,18
11.0,11-075 Palmer City No. 2,U.S. House,1,"Wright, Stephen T.",REP,40
11.0,11-075 Palmer City No. 2,U.S. House,1,"Young, Don",REP,134
11.0,11-075 Palmer City No. 2,State Senate,F,"Laudert-Rodgers, Sam",DEM,28
11.0,11-075 Palmer City No. 2,State Senate,F,"Hughes, Shelley",REP,119
11.0,11-075 Palmer City No. 2,State Senate,F,"St. Clair, Steve",REP,20
11.0,11-075 Palmer City No. 2,State Senate,F,"Crum, Adam",REP,67
11.0,11-075 Palmer City No. 2,State House,11,"Johnson, Delena",REP,100
11.0,11-075 Palmer City No. 2,State House,11,"Best, Richard W.",REP,110
